Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,6,10,1,120,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.38095238  1.52380952  3.42857143  6.0952381   9.52380952 13.71428571],0.8,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],99000,0,1980,ospi,34.241140182209314,0.4125881336575417,1.0,0.0,0.41258813365754177
1,6,10,1,120,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.38095238  1.52380952  3.42857143  6.0952381   9.52380952 13.71428571],0.8,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],99000,0,1980,cmu,34.58439274963892,0.1907993188871103,0.9992929292929293,0.0005951777445877529,0.19079931888711035
2,6,10,1,120,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.38095238  1.52380952  3.42857143  6.0952381   9.52380952 13.71428571],0.8,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],99000,0,1980,fcfs,34.31563799858171,0.4641865301191566,1.0,0.0,0.4641865301191566
3,6,10,1,120,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.38095238  1.52380952  3.42857143  6.0952381   9.52380952 13.71428571],0.8,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],99000,0,1980,sdf,34.31563799858171,0.4641865301191566,1.0,0.0,0.4641865301191566
4,6,10,1,120,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.38095238  1.52380952  3.42857143  6.0952381   9.52380952 13.71428571],0.8,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],99000,0,1980,sdfprior,34.31563799858171,0.4641865301191566,1.0,0.0,0.4641865301191566
