Unnamed: 0,J,S,D,size,size_i,gamma,e,t,c,r,P,lab,mu,load,target_prob,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g_tmp,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g_tmp,ospi_g,ospi_opt_gap_tmp,ospi_opt_gap,sdf_job_id,sdf_attempts,sdf_time,sdf_iter,sdf_g_tmp,sdf_g,sdf_opt_gap_tmp,sdf_opt_gap,fcfs_job_id,fcfs_attempts,fcfs_time,fcfs_iter,fcfs_g_tmp,fcfs_g,fcfs_opt_gap_tmp,fcfs_opt_gap,pi_job_id,pi_attempts,pi_time,pi_iter,pi_g_tmp,pi_g,pi_opt_gap_tmp,pi_opt_gap,vi_opt_gap_tmp,vi_opt_gap
10,2,2,80,59049,177147,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.44999999999999996, 0.15]","[0.3333333333333333, 0.3333333333333333]",0.9,0.854429951932706,6608935_5,1,(HH:MM:SS): 02:11:53,1171,0.26206025605400407,0.26206025605400407,6608991_11,1,(HH:MM:SS): 02:03:58,921,0.2382101733237505,0.2382101733237505,0.0910099192047598,0.0910099192047598,6609174_4,1,(HH:MM:SS): 02:09:08,1391,0.19682115068038306,0.19682115068038306,0.24894696493075572,0.24894696493075572,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
11,2,2,80,59049,177147,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.44999999999999996, 0.3]","[0.3333333333333333, 0.6666666666666666]",0.9,0.854862154911623,6608936_6,1,(HH:MM:SS): 02:12:48,1251,0.35041435559590656,0.35041435559590656,6608992_12,1,(HH:MM:SS): 02:04:52,1051,0.3103071451187134,0.3103071451187134,,,6609228_5,1,(HH:MM:SS): 02:09:54,1501,0.24497270584106445,0.24497270584106445,0.30090562236107726,0.30090562236107726,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
12,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.11666666666666665, 0.35]","[0.3333333333333333, 0.3333333333333333]",0.7,0.5764587153443933,6608937_7,1,(HH:MM:SS): 03:46:53,1281,0.2837041510889927,,6608993_13,1,(HH:MM:SS): 02:25:55,721,0.27733362900714076,0.27733362900714076,0.02245480743725052,,6609229_6,2,(HH:MM:SS): 03:46:29,1921,0.2570401355624199,,0.09398528510853131,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
13,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.11666666666666665, 0.7]","[0.3333333333333333, 0.6666666666666666]",0.7,0.5765176096074743,6608938_8,1,(HH:MM:SS): 03:46:47,1281,0.562445878982544,,6608994_14,1,(HH:MM:SS): 02:54:13,1481,0.5200603256622951,0.5200603256622951,,,6609230_7,2,(HH:MM:SS): 03:46:30,1921,0.48302460710207623,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
14,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.15, 0.45]","[0.3333333333333333, 0.3333333333333333]",0.9,0.8535448113285636,6608939_9,1,(HH:MM:SS): 03:46:50,1281,0.2631978259111444,,6608995_15,1,(HH:MM:SS): 02:57:58,1581,0.24047198332846162,0.24047198332846162,,,6609178_8,2,(HH:MM:SS): 03:46:35,1921,0.19708536627391973,,0.25118923155369915,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
15,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.15, 0.9]","[0.3333333333333333, 0.6666666666666666]",0.9,0.854211272569544,6608940_10,1,(HH:MM:SS): 03:46:55,1281,0.569434662659963,,6608996_16,1,(HH:MM:SS): 03:11:31,1771,0.4365014545619488,0.4365014545619488,,,6609179_9,2,(HH:MM:SS): 03:46:23,1921,0.3408500999212265,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
16,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.2333333333333333, 0.2333333333333333]","[0.3333333333333333, 0.3333333333333333]",0.7,0.5764587153443933,6608941_11,1,(HH:MM:SS): 03:46:46,1281,0.2872316585853696,,6608997_17,1,(HH:MM:SS): 02:26:34,711,0.28411761919657386,0.28411761919657386,,,6609180_10,2,(HH:MM:SS): 03:46:24,1921,0.25664766846845544,,0.10647847896552158,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
17,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.2333333333333333, 0.4666666666666666]","[0.3333333333333333, 0.6666666666666666]",0.7,0.5764919564089257,6608942_12,1,(HH:MM:SS): 03:46:07,1181,0.46580605829755467,,6608998_18,1,(HH:MM:SS): 02:48:05,1201,0.44490784282485646,0.44490784282485646,0.04486462788628767,,6609237_11,2,(HH:MM:SS): 03:46:33,1921,0.403427068144083,,0.13391622767092534,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
18,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.3, 0.3]","[0.3333333333333333, 0.3333333333333333]",0.9,0.8535448113285636,6608943_13,1,(HH:MM:SS): 03:46:12,1181,0.2775068258245786,,6608999_19,1,(HH:MM:SS): 03:05:14,1681,0.23552087601274252,0.23552087601274252,0.15129699850473877,,6609238_12,2,(HH:MM:SS): 03:46:34,1921,0.19616234426697093,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
19,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.3, 0.6]","[0.3333333333333333, 0.6666666666666666]",0.9,0.853990861892935,6608944_14,1,(HH:MM:SS): 03:46:16,1181,0.5166513919830322,,6609000_20,1,(HH:MM:SS): 02:49:49,1361,0.4138297513127327,0.4138297513127327,,,6609239_13,2,(HH:MM:SS): 03:46:37,1891,0.2934100814163685,,0.4320927302833927,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
20,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.35, 0.11666666666666665]","[0.3333333333333333, 0.3333333333333333]",0.7,0.5764587153443933,6608945_15,1,(HH:MM:SS): 03:46:17,1181,0.2833195049315691,,6609001_21,1,(HH:MM:SS): 02:28:29,721,0.27732878116269905,0.27732878116269905,,,6609184_14,2,(HH:MM:SS): 03:46:06,1921,0.25725160383929807,,0.09200884739145396,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
21,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.35, 0.2333333333333333]","[0.3333333333333333, 0.6666666666666666]",0.7,0.5764722557007181,6608946_16,1,(HH:MM:SS): 03:46:51,1191,0.36557072028517723,,6609002_22,1,(HH:MM:SS): 02:41:34,1041,0.36164645850658417,0.36164645850658417,0.010734617300673847,,6609241_15,2,(HH:MM:SS): 03:46:28,1921,0.32913725078105927,,0.09966189161893672,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
22,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.44999999999999996, 0.15]","[0.3333333333333333, 0.3333333333333333]",0.9,0.8535448113285636,6608947_17,1,(HH:MM:SS): 03:46:54,1191,0.26311582916726667,,6609003_23,1,(HH:MM:SS): 03:46:16,1541,0.2403532490134239,,0.08651163339691077,,6609186_16,2,(HH:MM:SS): 03:46:18,1921,0.19861970903972784,,0.24512443942145984,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
23,2,2,160,233289,699867,20,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.44999999999999996, 0.3]","[0.3333333333333333, 0.6666666666666666]",0.9,0.8537687109524418,6608948_18,1,(HH:MM:SS): 03:46:55,1191,0.3533715680241585,,6609004_24,1,(HH:MM:SS): 03:15:34,1821,0.3140484193960826,0.3140484193960826,,,6609249_17,2,2:00:00,0,,,,,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,
24,2,5,80,236196,708588,10,0.0001,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.29166666666666663, 0.8749999999999999]","[0.3333333333333333, 0.3333333333333333]",0.7,0.3867870847626598,6608949_19,1,(HH:MM:SS): 03:04:06,1091,0.9514797975619634,0.9514797975619634,6609005_25,1,(HH:MM:SS): 02:15:06,651,0.9340202560027441,0.9340202560027441,,,6609250_18,1,(HH:MM:SS): 02:54:57,1541,0.8803870032231014,0.8803870032231014,0.0747181332919812,0.0747181332919812,,0,00:00,0,,,,,,0,00:00,0,,,,,0.0,0.0
