Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,6,10,1,120,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],100000,100,999,ospi,39.08891174275435,0.3898226940036067,1.0,0.0,0.27692565405494146
1,6,10,1,120,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],100000,100,999,cmu,39.08560825019576,0.2637940535839214,1.0,0.0,0.2487746729421813
2,6,10,1,120,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],100000,100,999,fcfs,39.088284025822134,3.5979490751445447,1.0,0.0,0.2585682301789141
3,6,10,1,120,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],100000,100,999,sdf,39.088284025822134,3.5979490751445447,1.0,0.0,0.2585682301789141
4,6,10,1,120,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],100000,100,999,sdfprior,39.088284025822134,0.7938917490824948,1.0,0.0,0.2585682301789141
