Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,3,5,10,1800,[60. 60. 60.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.02361111 0.02361111 0.02361111],0.85,[0.33333333 0.33333333 0.33333333],100000,100,999,ospi,0.05762916501374642,0,0.8111611611611612,0.0020713654748167496,0.0004193942928550613
1,3,5,10,1800,[60. 60. 60.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.02361111 0.02361111 0.02361111],0.85,[0.33333333 0.33333333 0.33333333],100000,100,999,cmu_t_min,0.05728081435615164,0,0.8062562562562563,0.002108203278003973,0.0004207260541070789
2,3,5,10,1800,[60. 60. 60.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.02361111 0.02361111 0.02361111],0.85,[0.33333333 0.33333333 0.33333333],100000,100,999,cmu_t_max,0.05742460005344758,0,0.8082082082082082,0.0021607921987853674,0.00041529320165400324
3,3,5,10,1800,[60. 60. 60.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.02361111 0.02361111 0.02361111],0.85,[0.33333333 0.33333333 0.33333333],100000,100,999,fcfs,0.04969629759351919,0,0.6993793793793793,0.0028045084112522847,0.0004075487460689315
4,3,5,10,1800,[60. 60. 60.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.02361111 0.02361111 0.02361111],0.85,[0.33333333 0.33333333 0.33333333],100000,100,999,sdf,0.04969629759351919,0,0.6993793793793793,0.0028045084112522847,0.0004075487460689315
5,3,5,10,1800,[60. 60. 60.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.02361111 0.02361111 0.02361111],0.85,[0.33333333 0.33333333 0.33333333],100000,100,999,sdfprior,0.05915520788060537,0,0.8326626626626628,0.002348754737910015,0.0004270855447361168
6,3,5,10,1800,[60. 60. 60.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.02361111 0.02361111 0.02361111],0.85,[0.33333333 0.33333333 0.33333333],100000,100,999,l_max,0.05742460005344758,0,0.8082082082082082,0.0021607921987853674,0.00041529320165400324
7,3,5,10,1800,[60. 60. 60.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.02361111 0.02361111 0.02361111],0.85,[0.33333333 0.33333333 0.33333333],100000,100,999,l_min,0.05728081435615164,0,0.8062562562562563,0.002108203278003973,0.0004207260541070789
