Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.00501761 0.02620305 0.04794601],0.95,[0.06338028 0.33098592 0.6056338 ],200000,100,1999,ospi,0.06078535962654064,0,0.7663481740870435,0.0017131212453468897,0.0002838635724601089
1,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.00501761 0.02620305 0.04794601],0.95,[0.06338028 0.33098592 0.6056338 ],200000,100,1999,cmu_t_min,0.046332263832547856,0,0.5841570785392697,0.0019844261362670897,0.00022889055646577367
2,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.00501761 0.02620305 0.04794601],0.95,[0.06338028 0.33098592 0.6056338 ],200000,100,1999,cmu_t_max,0.058138159406016035,0,0.7329714857428715,0.002135868002731006,0.0002699516579092834
3,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.00501761 0.02620305 0.04794601],0.95,[0.06338028 0.33098592 0.6056338 ],200000,100,1999,fcfs,0.03240137137921766,0,0.4084842421210606,0.001222513230590255,0.00016496927485911423
4,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.00501761 0.02620305 0.04794601],0.95,[0.06338028 0.33098592 0.6056338 ],200000,100,1999,sdf,0.032310689941148045,0,0.407343671835918,0.0010979608019715808,0.00015954016039406094
5,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.00501761 0.02620305 0.04794601],0.95,[0.06338028 0.33098592 0.6056338 ],200000,100,1999,sdfprior,0.05334123155193992,0,0.672471235617809,0.0019257660181483532,0.00025974595746903334
6,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.00501761 0.02620305 0.04794601],0.95,[0.06338028 0.33098592 0.6056338 ],200000,100,1999,l_max,0.058138159406016035,0,0.7329714857428715,0.002135868002731006,0.0002699516579092834
7,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.01666667 0.01666667 0.01666667],[0.00501761 0.02620305 0.04794601],0.95,[0.06338028 0.33098592 0.6056338 ],200000,100,1999,l_min,0.046332263832547856,0,0.5841570785392697,0.0019844261362670897,0.00022889055646577367
