Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,2,2,15,274,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.66666667],[0.11666667 0.7       ],0.7,0,100000,100,999,ospi,0.5178131227962759,0,0.6346446446446447,0.002610835439285436,0.004360420619756817
1,2,2,15,274,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.66666667],[0.11666667 0.7       ],0.7,0,100000,100,999,cmu_t_min,0.517728143780129,0,0.6345445445445446,0.0028669766381958363,0.00444634635917405
2,2,2,15,274,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.66666667],[0.11666667 0.7       ],0.7,0,100000,100,999,cmu_t_max,0.517728143780129,0,0.6345445445445446,0.0028669766381958363,0.00444634635917405
3,2,2,15,274,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.66666667],[0.11666667 0.7       ],0.7,0,100000,100,999,fcfs,0.4842764033656599,0,0.5935235235235234,0.002722946079357376,0.004173961863809041
4,2,2,15,274,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.66666667],[0.11666667 0.7       ],0.7,0,100000,100,999,sdf,0.4842764033656599,0,0.5935235235235234,0.002722946079357376,0.004173961863809041
5,2,2,15,274,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.66666667],[0.11666667 0.7       ],0.7,0,100000,100,999,sdfprior,0.5095859134420655,0,0.6245745745745745,0.0028108825491503257,0.0044007845367459875
6,2,2,15,274,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.66666667],[0.11666667 0.7       ],0.7,0,100000,100,999,l_max,0.517728143780129,0,0.6345445445445446,0.0028669766381958363,0.00444634635917405
7,2,2,15,274,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.66666667],[0.11666667 0.7       ],0.7,0,100000,100,999,l_min,0.5011518534702626,0,0.6142642642642644,0.0026833775001859467,0.004174905808694488
