Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,4,10,1,120,[60. 60. 60. 60.],[1.  1.  0.5 0.5],[1. 1. 1. 1.],[0.01666667 0.03333333 0.01666667 0.03333333],[0.01666667 0.03333333 0.05       0.1       ],0.8,[0.125 0.125 0.375 0.375],10000,100,99,ospi,0.2019162850755026,0,0.9856565656565656,0.001340694789765549,0.0048315962416106825
1,4,10,1,120,[60. 60. 60. 60.],[1.  1.  0.5 0.5],[1. 1. 1. 1.],[0.01666667 0.03333333 0.01666667 0.03333333],[0.01666667 0.03333333 0.05       0.1       ],0.8,[0.125 0.125 0.375 0.375],10000,100,99,cmu,0.20194881547457932,0,0.9877777777777778,0.0012535190099848123,0.00424948728424246
2,4,10,1,120,[60. 60. 60. 60.],[1.  1.  0.5 0.5],[1. 1. 1. 1.],[0.01666667 0.03333333 0.01666667 0.03333333],[0.01666667 0.03333333 0.05       0.1       ],0.8,[0.125 0.125 0.375 0.375],10000,100,99,fcfs,0.20012132695046334,0,0.9781818181818182,0.0012511717405699406,0.004522045507182678
3,4,10,1,120,[60. 60. 60. 60.],[1.  1.  0.5 0.5],[1. 1. 1. 1.],[0.01666667 0.03333333 0.01666667 0.03333333],[0.01666667 0.03333333 0.05       0.1       ],0.8,[0.125 0.125 0.375 0.375],10000,100,99,sdf,0.20012132695046334,0,0.9781818181818182,0.0012511717405699406,0.004522045507182678
4,4,10,1,120,[60. 60. 60. 60.],[1.  1.  0.5 0.5],[1. 1. 1. 1.],[0.01666667 0.03333333 0.01666667 0.03333333],[0.01666667 0.03333333 0.05       0.1       ],0.8,[0.125 0.125 0.375 0.375],10000,100,99,sdfprior,0.20209733486314307,0,0.986161616161616,0.0012569537428172512,0.004961467149756957
