Unnamed: 0,J,S,gamma,D,mu,lab,load,imbalance,t,c,r,t_prob,e,P,size,size_i,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g_tmp,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g_tmp,ospi_g,ospi_opt_gap_tmp,ospi_opt_gap,sdf_job_id,sdf_attempts,sdf_time,sdf_iter,sdf_g_tmp,sdf_g,sdf_opt_gap_tmp,sdf_opt_gap,fcfs_job_id,fcfs_attempts,fcfs_time,fcfs_iter,fcfs_g_tmp,fcfs_g,fcfs_opt_gap_tmp,fcfs_opt_gap,pi_job_id,pi_attempts,pi_time,pi_iter,pi_g_tmp,pi_g,pi_opt_gap_tmp,pi_opt_gap,cmu_t_min_job_id,cmu_t_min_attempts,cmu_t_min_time,cmu_t_min_iter,cmu_t_min_g_tmp,cmu_t_min_g,cmu_t_min_opt_gap_tmp,cmu_t_min_opt_gap
10,2,2,10,150,"[4.0, 4.0]","[5.4, 1.8]",0.9,"[3, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8683015914427342,0.0001,1000,205209,615627,704517511,2,(HH:MM:SS): 11:22:06,140831,5.266021728515625,,704542911,2,(HH:MM:SS): 11:22:06,188981,4.724273681640625,,0.10287615106892216,,704823411,2,(HH:MM:SS): 11:22:06,189701,3.379516602,,0.35824104498803294,,703424811,2,(HH:MM:SS): 05:40:06,95121,3.379516602,,0.35824104498803294,,,0,00:00,0,,,,,703531111,2,(HH:MM:SS): 05:40:06,94011,5.129302978515625,,0.025962436,
11,2,2,10,133,"[4.0, 8.0]","[5.4, 3.6]",0.9,"[3, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8707861822513402,0.0001,1000,161604,484812,704517612,1,(HH:MM:SS): 03:08:57,5991,7.032348633,7.0324859619140625,703107212,1,(HH:MM:SS): 05:59:33,381,5.773864746,5.774414063,0.1789564130604593,0.17889433498017926,703316112,2,(HH:MM:SS): 05:40:06,129561,4.532135009765625,,0.3555303858772067,,704980212,2,(HH:MM:SS): 11:22:06,260431,4.531860352,,0.3555694422746446,,,0,00:00,0,,,,,705111212,1,(HH:MM:SS): 03:12:18,14961,5.779907227,5.7800445556640625,0.1780971723168255,0.17809369446776935
12,2,2,15,59,"[4.0, 4.0]","[1.4, 4.2]",0.7,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5834976793260784,0.0001,1000,32400,97200,704517713,1,(HH:MM:SS): 02:59:13,701,5.442177951335907,5.442214191,704543313,1,(HH:MM:SS): 02:59:11,721,5.3769760727882385,5.376977205276489,0.011980842804242218,0.011987213915947375,703316913,1,(HH:MM:SS): 05:59:04,1,5.245009481906891,5.245009481906891,0.036229699,0.036236117,704980313,1,(HH:MM:SS): 02:59:16,1181,5.245009481906891,5.245009481906891,0.036229699,0.036236117,,0,00:00,0,,,,,703531313,1,(HH:MM:SS): 05:59:04,1,5.197820961475372,5.197821527719498,0.044900587971503515,0.044906844
13,2,2,15,42,"[4.0, 8.0]","[1.4, 8.4]",0.7,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5920724232232104,0.0001,1000,16641,49923,704517814,1,(HH:MM:SS): 02:59:08,541,10.526971459388733,10.526970088481903,704543414,1,(HH:MM:SS): 02:59:08,651,9.857960701,9.857962072,0.063552063,0.063551811,703317914,1,(HH:MM:SS): 05:59:04,1,10.032388031482697,10.032388716936111,0.046982499,0.04698231,703425114,1,(HH:MM:SS): 05:59:05,1,10.032388031482697,10.032388716936111,0.046982499,0.04698231,,0,00:00,0,,,,,705111414,1,(HH:MM:SS): 02:59:06,381,10.377704381942749,10.37769341468811,0.014179489136246917,0.014180402579192656
14,2,2,15,193,"[4.0, 4.0]","[1.8, 5.4]",0.9,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8642833946038634,0.0001,1000,338724,1016172,704517915,2,(HH:MM:SS): 11:22:08,67391,5.495231628417969,,703115215,2,(HH:MM:SS): 05:40:06,72251,5.0489044189453125,,0.081220818,,703318015,2,(HH:MM:SS): 05:40:07,47991,3.690063477,,0.32849719064074495,,704980515,2,(HH:MM:SS): 11:22:07,96381,3.690063477,,0.32849719064074495,,,0,00:00,0,,,,,703531515,2,(HH:MM:SS): 05:40:06,47441,4.0666656494140625,,0.25996465219341053,
15,2,2,15,138,"[4.0, 8.0]","[1.8, 10.8]",0.9,"[0.3333333333333333, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8700010151940712,0.0001,1000,173889,521667,704518016,2,(HH:MM:SS): 11:22:06,177331,12.007827758789062,,704543616,2,(HH:MM:SS): 11:22:06,326491,10.370986938476562,,0.13631448195236007,,704825016,2,(HH:MM:SS): 11:22:06,238051,7.790435791015625,,0.3512202250474938,,703425316,2,(HH:MM:SS): 05:40:06,118731,7.789733887,,0.3512786789419845,,,0,00:00,0,,,,,705111616,2,(HH:MM:SS): 11:22:06,328001,11.468765258789062,,0.044892590968873304,
16,2,2,15,59,"[4.0, 4.0]","[2.8, 2.8]",0.7,"[1, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5834976793260784,0.0001,1000,32400,97200,702716917,1,(HH:MM:SS): 05:59:05,1,5.455225348472595,5.455208361148834,703118017,1,(HH:MM:SS): 05:59:05,1,5.385376870632172,5.385413110256195,0.012803958292938422,0.012794241076053179,703320117,1,(HH:MM:SS): 05:59:05,1,5.269686401,5.269687533378601,0.034011234,0.034008019,704980717,1,(HH:MM:SS): 02:59:16,1161,5.269687533378601,5.269686401,0.034011027,0.034008226263132886,,0,00:00,0,,,,,705111717,1,(HH:MM:SS): 02:59:12,771,5.2762967348098755,5.276296169,0.032799490806153006,0.032796583
17,2,2,15,46,"[4.0, 8.0]","[2.8, 5.6]",0.7,"[1, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.5891853432942012,0.0001,1000,19881,59643,702717018,1,(HH:MM:SS): 05:59:05,1,8.858448982,8.858428418636322,703123018,1,(HH:MM:SS): 05:59:05,1,8.373371422290802,8.373370051383972,0.054758746,0.054756706757587634,704825218,1,(HH:MM:SS): 02:59:11,1091,8.387552082538605,8.387552082538605,0.053157940023622105,0.053155742,703425618,1,(HH:MM:SS): 05:59:04,1,8.387552082538605,8.387552082538605,0.053157940023622105,0.053155742,,0,00:00,0,,,,,703531818,1,(HH:MM:SS): 05:59:04,1,8.618921399116516,8.618900835514069,0.027039449411799664,0.027039512180099166
18,2,2,15,193,"[4.0, 4.0]","[3.6, 3.6]",0.9,"[1, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8642833946038634,0.0001,1000,338724,1016172,702717119,2,(HH:MM:SS): 05:40:07,33991,5.246772766113281,,703123119,2,(HH:MM:SS): 05:40:07,58101,4.280914306640625,,0.18408619975134688,,703320319,2,(HH:MM:SS): 05:40:07,47981,3.760803223,,0.28321591380024863,,703426019,2,(HH:MM:SS): 05:40:06,48271,3.760803223,,0.28321591380024863,,,0,00:00,0,,,,,705111919,2,(HH:MM:SS): 11:22:07,95281,4.775512695,,0.089819036,
19,2,2,15,150,"[4.0, 8.0]","[3.6, 7.2]",0.9,"[1, 1]","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",0.8683015914427344,0.0001,1000,205209,615627,704518420,1,(HH:MM:SS): 03:23:02,10541,9.186347961425781,9.186347961425781,704544020,2,(HH:MM:SS): 11:22:06,209221,7.075897216796875,,0.22973773184848428,,703320420,2,(HH:MM:SS): 05:40:06,94931,6.444885254,,0.2984279192374549,,704981020,2,(HH:MM:SS): 11:22:06,189641,6.444885254,,0.2984279192374549,,,0,00:00,0,,,,,703532020,1,(HH:MM:SS): 05:59:06,21,8.980212926864624,8.980251312,0.022439280051956983,0.022435101526236366
