Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],100000,100,999,ospi,0.0878460003151851,0,0.8999599599599599,0.0015594090135636956,0.0006302542557658473
1,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],100000,100,999,cmu_t_min,0.09145838304805042,0,0.9371371371371372,0.0015715014295975243,0.0006642185196373419
2,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],100000,100,999,cmu_t_max,0.09145838304805042,0,0.9371371371371372,0.0015715014295975243,0.0006642185196373419
3,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],100000,100,999,fcfs,0.0811505044202241,0,0.8313413413413415,0.0013625134042911013,0.000577853754072739
4,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],100000,100,999,sdf,0.07891174926963405,0,0.8084084084084081,0.0014016446886214525,0.0005894555345985766
5,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],100000,100,999,sdfprior,0.08213506490249411,0,0.8413413413413413,0.0013949003484400085,0.0006318520745415805
6,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],100000,100,999,l_max,0.09145838304805042,0,0.9371371371371372,0.0015715014295975243,0.0006642185196373419
7,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],100000,100,999,l_min,0.07872613460230822,0,0.8064564564564562,0.0016683004844931302,0.0006216867877785136
