,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int
0,3,5,1,180,[0.03333333 0.03333333 0.03333333],[1 1 1],[1 1 1],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],0,0,0,ospi,0,0
1,3,5,1,180,[0.03333333 0.03333333 0.03333333],[1 1 1],[1 1 1],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],0,0,0,cmu,0,0
2,3,5,1,180,[0.03333333 0.03333333 0.03333333],[1 1 1],[1 1 1],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],0,0,0,fcfs,0,0
3,3,5,1,180,[0.03333333 0.03333333 0.03333333],[1 1 1],[1 1 1],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],0,0,0,sdf,0,0
4,3,5,1,180,[0.03333333 0.03333333 0.03333333],[1 1 1],[1 1 1],[0.00761035 0.00833333 0.03267974],[0.00204997 0.01172242 0.08411581],0.85,[0.06338028 0.33098592 0.6056338 ],0,0,0,sdf_prior,0,0
