Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.45238095  1.80952381  4.07142857  7.23809524 11.30952381 16.28571429],0.95,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,ospi,41.220965759718325,0,1.0,0.0,0.16440441319371585
1,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.45238095  1.80952381  4.07142857  7.23809524 11.30952381 16.28571429],0.95,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,cmu_t_min,41.22334465697995,0,0.9999899949974987,1.3726611197378092e-05,0.15651435483324894
2,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.45238095  1.80952381  4.07142857  7.23809524 11.30952381 16.28571429],0.95,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,cmu_t_max,41.22334465697995,0,0.9999899949974987,1.3726611197378092e-05,0.15651435483324894
3,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.45238095  1.80952381  4.07142857  7.23809524 11.30952381 16.28571429],0.95,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,fcfs,41.22658799180651,0,1.0,0.0,0.18506386388175022
4,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.45238095  1.80952381  4.07142857  7.23809524 11.30952381 16.28571429],0.95,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,sdf,41.22658799180651,0,1.0,0.0,0.18506386388175022
5,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.45238095  1.80952381  4.07142857  7.23809524 11.30952381 16.28571429],0.95,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,sdfprior,41.22658799180651,0,1.0,0.0,0.18506386388175022
6,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.45238095  1.80952381  4.07142857  7.23809524 11.30952381 16.28571429],0.95,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,l_max,41.22334465697995,0,0.9999899949974987,1.3726611197378092e-05,0.15651435483324894
7,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.45238095  1.80952381  4.07142857  7.23809524 11.30952381 16.28571429],0.95,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,l_min,41.234892139238426,0,1.0,0.0,0.211587229828073
