Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,2,5,15,286,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.33333333],[0.66666667 0.66666667],0.8,0,200000,100,1999,ospi,0.9009137729862501,0,0.6731365682841419,0.0016672641231051434,0.004102305943444822
1,2,5,15,286,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.33333333],[0.66666667 0.66666667],0.8,0,200000,100,1999,cmu_t_min,0.916575017998687,0,0.6848224112056029,0.0018632542980168711,0.004302656040572528
2,2,5,15,286,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.33333333],[0.66666667 0.66666667],0.8,0,200000,100,1999,cmu_t_max,0.9171382844145971,0,0.6852376188094046,0.0017575519191997398,0.00433232293771613
3,2,5,15,286,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.33333333],[0.66666667 0.66666667],0.8,0,200000,100,1999,fcfs,0.8038071704521497,0,0.6005452726363181,0.0014589278500714508,0.0036342607371016773
4,2,5,15,286,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.33333333],[0.66666667 0.66666667],0.8,0,200000,100,1999,sdf,0.8038071704521497,0,0.6005452726363181,0.0014589278500714508,0.0036342607371016773
5,2,5,15,286,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.33333333],[0.66666667 0.66666667],0.8,0,200000,100,1999,sdfprior,0.9292884663766843,0,0.6943321660830415,0.0017374817203043627,0.004181894370900712
6,2,5,15,286,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.33333333],[0.66666667 0.66666667],0.8,0,200000,100,1999,l_max,0.9171382844145971,0,0.6852376188094046,0.0017575519191997398,0.00433232293771613
7,2,5,15,286,[1. 1.],[1. 1.],[1. 1.],[0.33333333 0.33333333],[0.66666667 0.66666667],0.8,0,200000,100,1999,l_min,0.916575017998687,0,0.6848224112056029,0.0018632542980168711,0.004302656040572528
