Unnamed: 0,J,S,D,size,size_i,gamma,e,t,c,r,P,lab,mu,load,target_prob,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g,opt_gap
17,2,2,230,480249,1440747,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.19999999999999998, 0.39999999999999997]","[0.3333333333333333, 0.6666666666666666]",0.6,0.4482318271119841,3427413_18,4,(HH:MM:SS): 20:01:33,3891.0,0.4399795532226562,3382462_18,1,(HH:MM:SS): 05:44:26,1907.0,0.4312241872151692,0.0198994838359141
18,2,2,478,2064969,6194907,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.2333333333333333, 0.2333333333333333]","[0.3333333333333333, 0.3333333333333333]",0.7,0.5764781485383542,3910139_10,12,15:00:00,,,3907714_10,11,15:00:00,,,
19,2,2,383,1327104,3981312,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.2333333333333333, 0.35]","[0.3333333333333333, 0.5]",0.7,0.576508409680469,3910140_11,12,15:00:00,,,3907715_11,11,15:00:00,,,
20,2,2,319,921600,2764800,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.2333333333333333, 0.4666666666666666]","[0.3333333333333333, 0.6666666666666666]",0.7,0.576549014740701,3910141_12,12,15:00:00,,,3907716_12,10,15:00:00,,,
21,2,2,740,4941729,14825187,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.26666666666666666, 0.26666666666666666]","[0.3333333333333333, 0.3333333333333333]",0.8,0.71212259713429,3910142_13,12,15:00:00,,,3907717_13,10,15:00:00,,,
22,2,2,593,3175524,9526572,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.26666666666666666, 0.4]","[0.3333333333333333, 0.5]",0.8,0.7123831599103072,3910143_14,12,15:00:00,,,3907718_14,10,15:00:00,,,
23,2,2,494,2205225,6615675,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.26666666666666666, 0.5333333333333333]","[0.3333333333333333, 0.6666666666666666]",0.8,0.7126463031687128,3910144_15,12,15:00:00,,,3907719_15,11,15:00:00,,,
24,2,2,263,627264,1881792,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.25, 0.08333333333333333]","[0.3333333333333333, 0.3333333333333333]",0.5,0.3310387984981227,3427421_25,4,(HH:MM:SS): 17:32:49,2833.0,0.2590611775716146,3383633_25,1,(HH:MM:SS): 06:09:08,1982.0,0.2587431271870931,0.001227703770603
25,2,2,234,497025,1491075,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.25, 0.125]","[0.3333333333333333, 0.5]",0.5,0.3307752853207398,3367238_16,1,(HH:MM:SS): 10:09:21,2318.0,0.2952731847763061,3383974_26,1,(HH:MM:SS): 04:45:21,1558.0,0.2949627637863159,0.0010513009849687
26,2,2,210,400689,1202067,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.25, 0.16666666666666666]","[0.3333333333333333, 0.6666666666666666]",0.5,0.3305166586190246,3367264_17,1,(HH:MM:SS): 07:18:53,2299.0,0.3319307168324788,3384191_27,1,(HH:MM:SS): 02:14:45,1259.0,0.3306607405344645,0.0038260282450909
