Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,ospi,38.836111300405705,0,1.0,0.0,0.17844955181127836
1,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,cmu_t_min,38.83228824476129,0,1.0,0.0,0.17721530151883264
2,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,cmu_t_max,38.83228824476129,0,1.0,0.0,0.17721530151883264
3,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,fcfs,38.83430192200523,0,1.0,0.0,0.18346442126198306
4,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,sdf,38.83430192200523,0,1.0,0.0,0.18346442126198306
5,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,sdfprior,38.83430192200523,0,1.0,0.0,0.18346442126198306
6,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,l_max,38.83228824476129,0,1.0,0.0,0.17721530151883264
7,6,10,10,1800,[60. 60. 60. 60. 60. 60.],[1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1.],[1. 2. 3. 4. 5. 6.],[ 0.42857143  1.71428571  3.85714286  6.85714286 10.71428571 15.42857143],0.9,[0.04761905 0.0952381  0.14285714 0.19047619 0.23809524 0.28571429],200000,100,1999,l_min,38.83540376239972,0,1.0,0.0,0.18689429720058134
