Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.0018088  0.01034331 0.07421983],0.75,[0.06338028 0.33098592 0.6056338 ],100000,100,999,ospi,0.08290640658415542,0,0.957697697697698,0.0012124702126584115,0.0005018956773821029
1,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.0018088  0.01034331 0.07421983],0.75,[0.06338028 0.33098592 0.6056338 ],100000,100,999,cmu_t_min,0.08354519046759118,0,0.9649449449449449,0.001140613173421949,0.0005004784829268578
2,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.0018088  0.01034331 0.07421983],0.75,[0.06338028 0.33098592 0.6056338 ],100000,100,999,cmu_t_max,0.08354519046759118,0,0.9649449449449449,0.001140613173421949,0.0005004784829268578
3,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.0018088  0.01034331 0.07421983],0.75,[0.06338028 0.33098592 0.6056338 ],100000,100,999,fcfs,0.08125096540690346,0,0.9385885885885884,0.0012297300899516011,0.00048705663127277324
4,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.0018088  0.01034331 0.07421983],0.75,[0.06338028 0.33098592 0.6056338 ],100000,100,999,sdf,0.08018393394962815,0,0.9262262262262263,0.0014129953309720928,0.0004940469640374947
5,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.0018088  0.01034331 0.07421983],0.75,[0.06338028 0.33098592 0.6056338 ],100000,100,999,sdfprior,0.08122967794334424,0,0.9383383383383381,0.0008216699367618492,0.0004853545285188076
6,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.0018088  0.01034331 0.07421983],0.75,[0.06338028 0.33098592 0.6056338 ],100000,100,999,l_max,0.08354519046759118,0,0.9649449449449449,0.001140613173421949,0.0005004784829268578
7,3,5,10,1800,[ 10.  60. 120.],[1. 1. 1.],[1. 1. 1.],[0.00761035 0.00833333 0.03267974],[0.0018088  0.01034331 0.07421983],0.75,[0.06338028 0.33098592 0.6056338 ],100000,100,999,l_min,0.07984903587763055,0,0.9223623623623625,0.0014318887462803384,0.0004902487717103017
