Unnamed: 0,J,S,gamma,D,t,c,r,mu,lab,load,imbalance,N,start_K,batch_T,method,g,conf_int,perc,ci_perc,ci_g
0,1,5,10,1800,[60.],[1.],[1.],[0.03333333],[0.14166667],0.85,[1],100000,100,999,ospi,0.11953526800013553,0,0.8425825825825827,0.0015536719088576371,0.0007841617361208742
1,1,5,10,1800,[60.],[1.],[1.],[0.03333333],[0.14166667],0.85,[1],100000,100,999,cmu_t_min,0.11953526800013553,0,0.8425825825825827,0.0015536719088576371,0.0007841617361208742
2,1,5,10,1800,[60.],[1.],[1.],[0.03333333],[0.14166667],0.85,[1],100000,100,999,cmu_t_max,0.11953526800013553,0,0.8425825825825827,0.0015536719088576371,0.0007841617361208742
3,1,5,10,1800,[60.],[1.],[1.],[0.03333333],[0.14166667],0.85,[1],100000,100,999,fcfs,0.11953526800013553,0,0.8425825825825827,0.0015536719088576371,0.0007841617361208742
4,1,5,10,1800,[60.],[1.],[1.],[0.03333333],[0.14166667],0.85,[1],100000,100,999,sdf,0.11953526800013553,0,0.8425825825825827,0.0015536719088576371,0.0007841617361208742
5,1,5,10,1800,[60.],[1.],[1.],[0.03333333],[0.14166667],0.85,[1],100000,100,999,sdfprior,0.11953526800013553,0,0.8425825825825827,0.0015536719088576371,0.0007841617361208742
6,1,5,10,1800,[60.],[1.],[1.],[0.03333333],[0.14166667],0.85,[1],100000,100,999,l_max,0.11953526800013553,0,0.8425825825825827,0.0015536719088576371,0.0007841617361208742
7,1,5,10,1800,[60.],[1.],[1.],[0.03333333],[0.14166667],0.85,[1],100000,100,999,l_min,0.11953526800013553,0,0.8425825825825827,0.0015536719088576371,0.0007841617361208742
